Timestamp,trade-volume
2019-02-20 00:00:00,374321248.6543
2019-02-21 00:00:00,235445371.308
2019-02-22 00:00:00,196426384.1712
2019-02-23 00:00:00,157385980.2516
2019-02-24 00:00:00,242874099.036
2019-02-25 00:00:00,400105758.6783
2019-02-26 00:00:00,1734750235.8833
2019-02-27 00:00:00,127504717.2525
2019-02-28 00:00:00,226984139.4655
2019-03-01 00:00:00,245942956.3968
2019-03-02 00:00:00,156175559.7436
2019-03-03 00:00:00,120293269.5584
2019-03-04 00:00:00,79501797.9448
2019-03-05 00:00:00,216413666.7198
2019-03-06 00:00:00,278485172.505
2019-03-07 00:00:00,148582990.045
2019-03-08 00:00:00,136348518.4222
2019-03-09 00:00:00,317288682.4932
2019-03-10 00:00:00,111238999.3568
2019-03-11 00:00:00,83936704.4613
2019-03-12 00:00:00,116557011.3127
2019-03-13 00:00:00,209075742.7232
2019-03-14 00:00:00,159688391.1519
2019-03-15 00:00:00,168146954.5833
2019-03-16 00:00:00,296835128.525
2019-03-17 00:00:00,184298451.339
2019-03-18 00:00:00,105693358.7448
2019-03-19 00:00:00,115735520.3806
2019-03-20 00:00:00,103002102.0128
2019-03-21 00:00:00,147543802.276
2019-03-22 00:00:00,166103501.487
2019-03-23 00:00:00,67712123.9106
2019-03-24 00:00:00,57296676.7912
2019-03-25 00:00:00,48747233.8458
2019-03-26 00:00:00,133869301.1894
2019-03-27 00:00:00,77182620.0366
2019-03-28 00:00:00,135317924.5463
2019-03-29 00:00:00,72542414.4438
2019-03-30 00:00:00,168998311.248
2019-03-31 00:00:00,104313150.4536
2019-04-01 00:00:00,53646013.3376
2019-04-02 00:00:00,178833230.7077
2019-04-03 00:00:00,879572364.1184
2019-04-04 00:00:00,963281105.1054
2019-04-05 00:00:00,476408009.5764
2019-04-06 00:00:00,335980018.8689
2019-04-07 00:00:00,329404453.2584
2019-04-08 00:00:00,382675686.0166
2019-04-09 00:00:00,526197764.2362
2019-04-10 00:00:00,411383523.3876
2019-04-11 00:00:00,368160408.1908
2019-04-12 00:00:00,363638962.689
2019-04-13 00:00:00,242714312.8875
2019-04-14 00:00:00,106569784.6862
2019-04-15 00:00:00,131452793.0738
2019-04-16 00:00:00,203887934.2752
2019-04-17 00:00:00,205894131.1575
2019-04-18 00:00:00,242366222.3974
2019-04-19 00:00:00,217894138.4139
2019-04-20 00:00:00,186470171.4552
2019-04-21 00:00:00,147414017.448
2019-04-22 00:00:00,179818212.1644
2019-04-23 00:00:00,268620376.3607
2019-04-24 00:00:00,371060447.1416
2019-04-25 00:00:00,360348203.347
2019-04-26 00:00:00,346365600.4305
2019-04-27 00:00:00,344577947.0674
2019-04-28 00:00:00,153300178.6852
2019-04-29 00:00:00,104885492.521
2019-04-30 00:00:00,254115382.611
2019-05-01 00:00:00,65541116.0006
2019-05-02 00:00:00,51098585.5099
2019-05-03 00:00:00,68390511.7848
2019-05-04 00:00:00,171606287.0444
2019-05-05 00:00:00,120664799.3124
2019-05-06 00:00:00,55755075.3708
2019-05-07 00:00:00,84401987.3554
2019-05-08 00:00:00,147447099.5428
