Date,High,Low,Open,Close,Volume,Adj Close
2017-09-06,1340.300048828125,1332.5999755859375,1340.0,1333.9000244140625,20.0,1333.9000244140625
2017-09-07,1349.0,1336.4000244140625,1336.4000244140625,1345.0999755859375,26.0,1345.0999755859375
2017-09-08,1355.800048828125,1345.5999755859375,1351.0,1346.0,37.0,1346.0
2017-09-11,1331.0,1327.300048828125,1331.0,1331.0,9.0,1331.0
2017-09-12,1328.0,1325.199951171875,1327.0,1328.0,15.0,1328.0
2017-09-13,1323.4000244140625,1323.4000244140625,1323.4000244140625,1323.4000244140625,16.0,1323.4000244140625
2017-09-14,1329.300048828125,1319.5999755859375,1319.5999755859375,1324.699951171875,316.0,1324.699951171875
2017-09-15,1321.199951171875,1319.800048828125,1320.5999755859375,1320.4000244140625,15.0,1320.4000244140625
2017-09-18,1310.4000244140625,1306.0,1309.800048828125,1306.300048828125,129.0,1306.300048828125
2017-09-19,1310.300048828125,1305.0999755859375,1307.9000244140625,1306.199951171875,20.0,1306.199951171875
2017-09-20,1312.0,1298.699951171875,1312.0,1312.0,12.0,1312.0
2017-09-21,1304.0999755859375,1290.300048828125,1299.0999755859375,1290.5999755859375,336.0,1290.5999755859375
2017-09-22,1295.699951171875,1293.300048828125,1295.0,1293.300048828125,209.0,1293.300048828125
2017-09-25,1309.199951171875,1291.0,1293.0999755859375,1306.800048828125,51.0,1306.800048828125
2017-09-26,1305.5999755859375,1297.0,1304.5,1297.0,39.0,1297.0
2017-09-27,1283.4000244140625,1283.4000244140625,1283.4000244140625,1283.4000244140625,19488.0,1283.4000244140625
2017-09-28,1288.0,1277.0,1283.0999755859375,1285.5,5226.0,1285.5
2017-09-29,1289.4000244140625,1281.5,1284.199951171875,1281.5,492.0,1281.5
2017-10-02,1276.0999755859375,1270.4000244140625,1275.0,1272.699951171875,136.0,1272.699951171875
2017-10-03,1273.300048828125,1268.5999755859375,1269.699951171875,1271.5,192.0,1271.5
2017-10-04,1280.800048828125,1270.0,1273.800048828125,1273.699951171875,218.0,1273.699951171875
2017-10-05,1277.800048828125,1267.5999755859375,1277.800048828125,1269.9000244140625,36.0,1269.9000244140625
2017-10-06,1272.0,1260.5,1267.5999755859375,1271.5999755859375,46.0,1271.5999755859375
2017-10-09,1284.0,1279.0,1280.5999755859375,1281.800048828125,19.0,1281.800048828125
2017-10-10,1293.0,1281.699951171875,1282.5999755859375,1290.5999755859375,18.0,1290.5999755859375
2017-10-11,1292.0,1284.9000244140625,1287.300048828125,1285.800048828125,21.0,1285.800048828125
2017-10-12,1294.5,1289.300048828125,1291.5,1293.300048828125,14.0,1293.300048828125
2017-10-13,1301.699951171875,1291.699951171875,1293.300048828125,1301.5,74.0,1301.5
